;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
6 de oct de 10;49,71;48,91;49,23; 0,80 ;0,00;0,09;10,90;2,77;2,04;25,44;18,73;6,71;44,17;15,18;25,86
7 de oct de 10;49,54;49;49,41; 0,54 ;0,00;0,00;10,66;2,57;1,90;24,15;17,78;6,37;41,94;15,18;25,09
8 de oct de 10;49,87;49,08;49,75; 0,79 ;0,33;0,00;10,69;2,72;1,76;25,45;16,47;8,98;41,92;21,43;24,83
11 de oct de 10;50,02;49,62;49,77; 0,40 ;0,15;0,00;10,33;2,68;1,63;25,92;15,83;10,09;41,75;24,16;24,78
12 de oct de 10;50,21;49,26;50,11; 0,95 ;0,00;0,36;10,54;2,49;1,88;23,58;17,82;5,76;41,40;13,92;24,01
13 de oct de 10;50,75;50,28;50,52; 0,64 ;0,54;0,00;10,43;2,85;1,74;27,32;16,73;10,59;44,04;24,04;24,01
14 de oct de 10;50,64;50,17;50,42; 0,47 ;0,00;0,11;10,15;2,64;1,73;26,05;17,04;9,01;43,09;20,92;23,79
15 de oct de 10;51,5;50,63;51,49; 1,08 ;0,86;0,00;10,51;3,32;1,61;31,56;15,28;16,27;46,84;34,74;24,57
18 de oct de 10;51,72;51,3;51,3; 0,42 ;0,22;0,00;10,18;3,30;1,49;32,42;14,65;17,76;47,07;37,74;25,51
19 de oct de 10;51,3;50,42;50,82; 0,88 ;0,00;0,88;10,33;3,06;2,26;29,66;21,93;7,73;51,58;14,99;24,76
20 de oct de 10;51,57;50,87;51,19; 0,75 ;0,27;0,00;10,34;3,11;2,10;30,12;20,33;9,78;50,45;19,39;24,38
21 de oct de 10;51,7101;50,79;51,29; 0,92 ;0,14;0,00;10,52;3,03;1,95;28,81;18,56;10,26;47,37;21,65;24,18
22 de oct de 10;51,69;51,21;51,64; 0,48 ;0,00;0,00;10,25;2,82;1,81;27,46;17,69;9,78;45,15;21,65;24,00
